Time [s],HSYNC,VSYNC,INTENSITY,VIDEO
030131958,0,1,0,0
030177958,1,1,0,0
030184958,0,1,0,0
030231917,1,1,0,0
030238958,0,1,0,0
030285917,1,1,0,0
030292958,0,1,0,0
030339917,1,1,0,0
030346917,0,1,0,0
030393917,1,1,0,0
030400917,0,1,0,0
030447917,1,1,0,0
030454917,0,1,0,0
030456458,0,1,0,1
030501458,0,1,0,0
030501917,1,1,0,0
030508917,0,1,0,0
030510458,0,1,0,1
030511708,0,1,0,0
030511958,0,1,0,1
030516458,0,1,0,0
030516958,0,1,0,1
030518958,0,1,0,0
030519208,0,1,0,1
030523708,0,1,0,0
030524208,0,1,0,1
030528083,0,1,0,0
030528708,0,1,0,1
030531583,0,1,0,0
030531833,0,1,0,1
030555458,0,1,0,0
030555875,1,1,0,0
030562917,0,1,0,0
030564417,0,1,0,1
030565708,0,1,0,0
030565917,0,1,0,1
030570333,0,1,0,0
030570542,0,1,0,1
030570833,0,1,0,0
030571042,0,1,0,1
030577583,0,1,0,0
030577792,0,1,0,1
030578083,0,1,0,0
030578292,0,1,0,1
030582083,0,1,0,0
030582292,0,1,0,1
030582583,0,1,0,0
030582792,0,1,0,1
030609417,0,1,0,0
030609875,1,1,0,0
030616875,0,1,0,0
030618417,0,1,0,1
030619667,0,1,0,0
030619917,0,1,0,1
030620042,0,1,0,0
030620292,0,1,0,1
030620542,0,1,0,0
030620792,0,1,0,1
030621042,0,1,0,0
030621542,0,1,0,1
030621917,0,1,0,0
030622417,0,1,0,1
030622792,0,1,0,0
030623292,0,1,0,1
030624292,0,1,0,0
030624542,0,1,0,1
030624792,0,1,0,0
030625042,0,1,0,1
030625167,0,1,0,0
030625792,0,1,0,1
030626167,0,1,0,0
030626667,0,1,0,1
030626917,0,1,0,0
030627167,0,1,0,1
030627417,0,1,0,0
030627917,0,1,0,1
030628167,0,1,0,0
030628792,0,1,0,1
030629167,0,1,0,0
030629667,0,1,0,1
030630042,0,1,0,0
030630542,0,1,0,1
030631542,0,1,0,0
030631792,0,1,0,1
030632042,0,1,0,0
030632292,0,1,0,1
030632542,0,1,0,0
030633042,0,1,0,1
030633292,0,1,0,0
030634167,0,1,0,1
030634542,0,1,0,0
030635042,0,1,0,1
030636042,0,1,0,0
030636292,0,1,0,1
030636542,0,1,0,0
030636792,0,1,0,1
030637042,0,1,0,0
030637542,0,1,0,1
030637917,0,1,0,0
030638417,0,1,0,1
030638792,0,1,0,0
030639292,0,1,0,1
030639542,0,1,0,0
030639792,0,1,0,1
030640042,0,1,0,0
030640542,0,1,0,1
030640917,0,1,0,0
030641417,0,1,0,1
030641792,0,1,0,0
030642292,0,1,0,1
030663417,0,1,0,0
030663875,1,1,0,0
030670875,0,1,0,0
030672417,0,1,0,1
030673667,0,1,0,0
030673917,0,1,0,1
030674042,0,1,0,0
030674292,0,1,0,1
030674542,0,1,0,0
030674792,0,1,0,1
030674917,0,1,0,0
030675167,0,1,0,1
030675417,0,1,0,0
030675667,0,1,0,1
030675792,0,1,0,0
030676042,0,1,0,1
030676292,0,1,0,0
030676542,0,1,0,1
030676667,0,1,0,0
030676917,0,1,0,1
030677167,0,1,0,0
030677417,0,1,0,1
030678292,0,1,0,0
030678542,0,1,0,1
030678792,0,1,0,0
030679042,0,1,0,1
030679167,0,1,0,0
030679417,0,1,0,1
030679667,0,1,0,0
030679917,0,1,0,1
030680042,0,1,0,0
030680292,0,1,0,1
030680542,0,1,0,0
030680792,0,1,0,1
030680917,0,1,0,0
030681167,0,1,0,1
030681292,0,1,0,0
030681542,0,1,0,1
030681792,0,1,0,0
030682042,0,1,0,1
030682167,0,1,0,0
030682417,0,1,0,1
030682667,0,1,0,0
030682917,0,1,0,1
030683042,0,1,0,0
030683292,0,1,0,1
030683542,0,1,0,0
030683792,0,1,0,1
030683917,0,1,0,0
030684167,0,1,0,1
030685542,0,1,0,0
030686292,0,1,0,1
030686417,0,1,0,0
030686667,0,1,0,1
030686917,0,1,0,0
030687167,0,1,0,1
030687292,0,1,0,0
030687542,0,1,0,1
030687667,0,1,0,0
030687917,0,1,0,1
030688042,0,1,0,0
030688292,0,1,0,1
030688417,0,1,0,0
030688667,0,1,0,1
030688917,0,1,0,0
030689167,0,1,0,1
030690042,0,1,0,0
030690292,0,1,0,1
030690542,0,1,0,0
030690792,0,1,0,1
030690917,0,1,0,0
030691167,0,1,0,1
030691417,0,1,0,0
030691667,0,1,0,1
030691792,0,1,0,0
030692042,0,1,0,1
030692667,0,1,0,0
030692917,0,1,0,1
030693542,0,1,0,0
030693792,0,1,0,1
030693917,0,1,0,0
030694167,0,1,0,1
030694417,0,1,0,0
030694667,0,1,0,1
030694792,0,1,0,0
030695042,0,1,0,1
030695292,0,1,0,0
030695542,0,1,0,1
030695667,0,1,0,0
030695917,0,1,0,1
030717417,0,1,0,0
030717875,1,1,0,0
030724875,0,1,0,0
030726417,0,1,0,1
030727667,0,1,0,0
030727917,0,1,0,1
030728042,0,1,0,0
030728292,0,1,0,1
030728542,0,1,0,0
030728792,0,1,0,1
030728917,0,1,0,0
030729667,0,1,0,1
030729792,0,1,0,0
030730042,0,1,0,1
030730292,0,1,0,0
030730542,0,1,0,1
030730667,0,1,0,0
030730917,0,1,0,1
030731167,0,1,0,0
030731417,0,1,0,1
030732292,0,1,0,0
030732542,0,1,0,1
030732792,0,1,0,0
030733042,0,1,0,1
030733167,0,1,0,0
030733417,0,1,0,1
030733667,0,1,0,0
030733917,0,1,0,1
030734042,0,1,0,0
030734292,0,1,0,1
030734917,0,1,0,0
030735167,0,1,0,1
030735292,0,1,0,0
030735542,0,1,0,1
030735792,0,1,0,0
030736042,0,1,0,1
030736167,0,1,0,0
030736417,0,1,0,1
030736667,0,1,0,0
030736917,0,1,0,1
030737042,0,1,0,0
030737792,0,1,0,1
030738042,0,1,0,0
030738542,0,1,0,1
030739542,0,1,0,0
030739792,0,1,0,1
030740042,0,1,0,0
030740292,0,1,0,1
030740417,0,1,0,0
030740667,0,1,0,1
030741292,0,1,0,0
030741542,0,1,0,1
030741667,0,1,0,0
030741917,0,1,0,1
030742042,0,1,0,0
030742292,0,1,0,1
030742417,0,1,0,0
030743167,0,1,0,1
030744042,0,1,0,0
030744292,0,1,0,1
030744542,0,1,0,0
030744792,0,1,0,1
030744917,0,1,0,0
030745167,0,1,0,1
030745417,0,1,0,0
030745667,0,1,0,1
030745917,0,1,0,0
030746417,0,1,0,1
030746792,0,1,0,0
030747292,0,1,0,1
030747542,0,1,0,0
030747792,0,1,0,1
030747917,0,1,0,0
030748667,0,1,0,1
030748792,0,1,0,0
030749042,0,1,0,1
030749792,0,1,0,0
030750292,0,1,0,1
030771417,0,1,0,0
030771875,1,1,0,0
030778875,0,1,0,0
030780417,0,1,0,1
030781167,0,1,0,0
030781417,0,1,0,1
030781667,0,1,0,0
030781917,0,1,0,1
030782042,0,1,0,0
030782292,0,1,0,1
030782542,0,1,0,0
030782792,0,1,0,1
030782917,0,1,0,0
030783167,0,1,0,1
030783792,0,1,0,0
030784042,0,1,0,1
030784292,0,1,0,0
030784542,0,1,0,1
030784667,0,1,0,0
030784917,0,1,0,1
030785167,0,1,0,0
030785417,0,1,0,1
030786292,0,1,0,0
030786542,0,1,0,1
030786792,0,1,0,0
030787042,0,1,0,1
030787167,0,1,0,0
030787417,0,1,0,1
030787667,0,1,0,0
030787917,0,1,0,1
030788042,0,1,0,0
030788292,0,1,0,1
030788542,0,1,0,0
030788792,0,1,0,1
030788917,0,1,0,0
030789167,0,1,0,1
030789292,0,1,0,0
030789542,0,1,0,1
030789792,0,1,0,0
030790042,0,1,0,1
030790167,0,1,0,0
030790417,0,1,0,1
030790667,0,1,0,0
030790917,0,1,0,1
030791042,0,1,0,0
030791292,0,1,0,1
030792417,0,1,0,0
030792667,0,1,0,1
030793542,0,1,0,0
030793792,0,1,0,1
030794042,0,1,0,0
030794292,0,1,0,1
030794417,0,1,0,0
030794667,0,1,0,1
030794917,0,1,0,0
030795167,0,1,0,1
030795292,0,1,0,0
030795542,0,1,0,1
030795667,0,1,0,0
030795917,0,1,0,1
030796042,0,1,0,0
030796292,0,1,0,1
030796417,0,1,0,0
030796667,0,1,0,1
030798042,0,1,0,0
030798292,0,1,0,1
030798542,0,1,0,0
030798792,0,1,0,1
030798917,0,1,0,0
030799167,0,1,0,1
030799417,0,1,0,0
030799667,0,1,0,1
030800292,0,1,0,0
030800542,0,1,0,1
030801167,0,1,0,0
030801417,0,1,0,1
030801542,0,1,0,0
030801792,0,1,0,1
030801917,0,1,0,0
030802167,0,1,0,1
030802792,0,1,0,0
030803042,0,1,0,1
030804167,0,1,0,0
030804417,0,1,0,1
030825417,0,1,0,0
030825833,1,1,0,0
030832875,0,1,0,0
030834417,0,1,0,1
030835292,0,1,0,0
030835792,0,1,0,1
030836167,0,1,0,0
030836792,0,1,0,1
030837042,0,1,0,0
030837667,0,1,0,1
030837917,0,1,0,0
030838542,0,1,0,1
